throughput,p95_ttft,p95_tbt,lambda,workload
0.4959478726932717,0.9280000000021573,0.03999999999996362,0.5,mixture
0.9918089068475606,1.5950471944767133,0.03999999999996362,1.0,mixture
1.983226994600488,4.654175589441951,0.040000000000020464,2.0,mixture
2.6893263135313488,126.83003373754745,0.040000000000020464,3.0,mixture
2.569359797236409,460.153066563171,0.040000000000020464,4.0,mixture
2.4797761716107987,672.3032323574532,0.040000000000020464,5.0,mixture
2.495409589352766,769.2638697377,0.040000000000020464,6.0,mixture
2.4673910748095427,875.0636340513907,0.040000000000020464,7.0,mixture
2.4618495252805723,938.5321647948915,0.040000000000020464,8.0,mixture
2.4371460646050864,1001.6555853731691,0.040000000000020464,9.0,mixture
2.4573536876544706,1014.1617838358301,0.040000000000020464,10.0,mixture
2.373047019006348,1090.2247125779236,0.040000000000020464,11.0,mixture
2.434964794846671,1088.8268365297452,0.040000000000020464,12.0,mixture
2.3735248350759917,1158.4289798735151,0.040000000000020464,13.0,mixture
2.428689902203417,1136.269017025412,0.040000000000020464,14.0,mixture
2.4036412754060534,1171.83636922368,0.040000000000020464,15.0,mixture
2.411001767896365,1177.3214173971578,0.040000000000020464,16.0,mixture
2.3622500093725987,1224.8617728442969,0.040000000000020464,17.0,mixture
2.228627678903509,1313.4429576861903,0.040000000000020464,18.0,mixture
